time,volume_m3,inflow_m3_per_day,outflow_m3_per_day
1992-07-16T00:00:00,780397491.6101425,-541563.84,172800.0
1992-07-17T00:00:00,779625784.0901425,-590267.52,181440.0
1992-07-18T00:00:00,779974952.4101425,530608.32,181440.0
1992-07-19T00:00:00,779477435.2901425,-316077.12,181440.0
1992-07-20T00:00:00,778724200.0901425,-571795.2,181440.0
1992-07-21T00:00:00,777985989.8501425,-556770.24,181440.0
1992-07-22T00:00:00,777198004.5701425,-606545.28,181440.0
1992-07-23T00:00:00,776400299.2901425,-624905.28,172800.0
1992-07-24T00:00:00,775637033.0501425,-581826.24,181440.0
1992-07-25T00:00:00,774883244.8901426,-572348.16,181440.0
1992-07-26T00:00:00,774297297.3701426,-404507.52,181440.0
1992-07-27T00:00:00,774204426.0101426,79928.64,172800.0
1992-07-28T00:00:00,776253376.0901426,2221750.08,172800.0
1992-07-29T00:00:00,775747132.5701426,-324803.52,181440.0
1992-07-30T00:00:00,775007056.0901426,-524076.48,216000.0
1992-07-31T00:00:00,774267627.6101426,-532068.48,207360.0
1992-08-01T00:00:00,773635291.9301426,-450895.68,181440.0
1992-08-02T00:00:00,774244411.9301426,790560.0,181440.0
1992-08-03T00:00:00,773769514.3301426,-293457.6,181440.0
1992-08-04T00:00:00,773351804.8901426,-227629.44,190080.0
1992-08-05T00:00:00,772837318.8101425,-315766.08,198720.0
1992-08-06T00:00:00,774452964.2501426,1814365.44,198720.0
1992-08-07T00:00:00,773752467.6101426,-501776.64,198720.0
1992-08-08T00:00:00,773180352.7301426,-373394.88,198720.0
1992-08-09T00:00:00,772688546.6501426,-293086.08,198720.0
1992-08-10T00:00:00,772166949.8501426,-314236.8,207360.0
1992-08-11T00:00:00,771655971.6101426,-303618.24,207360.0
1992-08-12T00:00:00,771266955.6101426,-173016.0,216000.0
1992-08-13T00:00:00,771796630.8101426,737035.2,207360.0
1992-08-14T00:00:00,771786029.5301427,153558.72,164160.0
1992-08-15T00:00:00,771543133.2101426,-87376.32,155520.0
1992-08-16T00:00:00,771078983.7701426,-308629.44,155520.0
1992-08-17T00:00:00,771262531.9301425,339068.16,155520.0
1992-08-18T00:00:00,770983399.4501425,-123612.48,155520.0
1992-08-19T00:00:00,770582468.8901426,-245410.56,155520.0
1992-08-20T00:00:00,770300346.9701426,-126601.92,155520.0
1992-08-21T00:00:00,769924757.5301425,-220069.44,155520.0
