time,inflow_m3_per_day,outflow_m3_per_day
1992-07-16T00:00:00,-541563.84,172800.0
1992-07-17T00:00:00,-590267.52,181440.0
1992-07-18T00:00:00,530608.32,181440.0
1992-07-19T00:00:00,-316077.12,181440.0
1992-07-20T00:00:00,-571795.2,181440.0
1992-07-21T00:00:00,-556770.24,181440.0
1992-07-22T00:00:00,-606545.28,181440.0
1992-07-23T00:00:00,-624905.28,172800.0
1992-07-24T00:00:00,-581826.24,181440.0
1992-07-25T00:00:00,-572348.16,181440.0
1992-07-26T00:00:00,-404507.52,181440.0
1992-07-27T00:00:00,79928.64,172800.0
1992-07-28T00:00:00,2221750.08,172800.0
1992-07-29T00:00:00,-324803.52,181440.0
1992-07-30T00:00:00,-524076.48,216000.0
1992-07-31T00:00:00,-532068.48,207360.0
1992-08-01T00:00:00,-450895.68,181440.0
1992-08-02T00:00:00,790560.0,181440.0
1992-08-03T00:00:00,-293457.6,181440.0
1992-08-04T00:00:00,-227629.44,190080.0
1992-08-05T00:00:00,-315766.08,198720.0
1992-08-06T00:00:00,1814365.44,198720.0
1992-08-07T00:00:00,-501776.64,198720.0
1992-08-08T00:00:00,-373394.88,198720.0
1992-08-09T00:00:00,-293086.08,198720.0
1992-08-10T00:00:00,-314236.8,207360.0
1992-08-11T00:00:00,-303618.24,207360.0
1992-08-12T00:00:00,-173016.0,216000.0
1992-08-13T00:00:00,737035.2,207360.0
1992-08-14T00:00:00,153558.72,164160.0
1992-08-15T00:00:00,-87376.32,155520.0
1992-08-16T00:00:00,-308629.44,155520.0
1992-08-17T00:00:00,339068.16,155520.0
1992-08-18T00:00:00,-123612.48,155520.0
1992-08-19T00:00:00,-245410.56,155520.0
1992-08-20T00:00:00,-126601.92,155520.0
1992-08-21T00:00:00,-220069.44,155520.0
1992-08-22T00:00:00,-98375.04,155520.0
1992-08-23T00:00:00,-318988.8,155520.0
1992-08-24T00:00:00,706181.76,155520.0
1992-08-25T00:00:00,119093.76,155520.0
1992-08-26T00:00:00,25876.8,172800.0
1992-08-27T00:00:00,649615.68,190080.0
1992-08-28T00:00:00,325555.2,190080.0
1992-08-29T00:00:00,74615.04,190080.0
1992-08-30T00:00:00,-218885.76,190080.0
1992-08-31T00:00:00,222730.56,190080.0
1992-09-01T00:00:00,2312357.76,190080.0
1992-09-02T00:00:00,-41860.8,190080.0
1992-09-03T00:00:00,564053.76,198720.0
1992-09-04T00:00:00,-113028.48,198720.0
1992-09-05T00:00:00,82442.88,198720.0
1992-09-06T00:00:00,-134084.16,190080.0
1992-09-07T00:00:00,96569.28,190080.0
1992-09-08T00:00:00,-8821.44,190080.0
1992-09-09T00:00:00,-106254.72,207360.0
1992-09-10T00:00:00,-167469.12,224640.0
1992-09-11T00:00:00,-181310.4,207360.0
1992-09-12T00:00:00,-154941.12,207360.0
1992-09-13T00:00:00,-107904.96,207360.0
1992-09-14T00:00:00,-92327.04,198720.0
1992-09-15T00:00:00,906275.52,207360.0
1992-09-16T00:00:00,897713.28,198720.0
1992-09-17T00:00:00,1007804.16,198720.0
1992-09-18T00:00:00,-86218.56,190080.0
1992-09-19T00:00:00,-125928.0,190080.0
1992-09-20T00:00:00,-108613.44,190080.0
1992-09-21T00:00:00,152910.72,190080.0
1992-09-22T00:00:00,-99498.24,190080.0
1992-09-23T00:00:00,-101442.24,190080.0
1992-09-24T00:00:00,-102392.64,190080.0
1992-09-25T00:00:00,-93432.96,190080.0
1992-09-26T00:00:00,1073813.76,190080.0
1992-09-27T00:00:00,210314.88,190080.0
1992-09-28T00:00:00,-58129.92,181440.0
1992-09-29T00:00:00,-57767.04,181440.0
1992-09-30T00:00:00,-43528.32,190080.0
1992-10-01T00:00:00,-61378.56,
1992-10-02T00:00:00,-90771.84,
1992-10-03T00:00:00,-56652.48,
1992-10-04T00:00:00,87704.64,
1992-10-05T00:00:00,42655.68,
1992-10-06T00:00:00,113901.12,
1992-10-07T00:00:00,-25505.28,
1992-10-08T00:00:00,550955.52,
1992-10-09T00:00:00,2151.36,
1992-10-10T00:00:00,870419.52,
1992-10-11T00:00:00,100647.36,
1992-10-12T00:00:00,-51641.28,
1992-10-13T00:00:00,551931.84,
1992-10-14T00:00:00,1562967.36,
1992-10-15T00:00:00,1512380.16,
1992-10-16T00:00:00,1430723.52,
1992-10-17T00:00:00,392592.96,
1992-10-18T00:00:00,401932.8,
1992-10-19T00:00:00,427515.84,
1992-10-20T00:00:00,1222171.2,
1992-10-21T00:00:00,568296.0,
1992-10-22T00:00:00,290908.8,
1992-10-23T00:00:00,233781.12,
1992-10-24T00:00:00,190477.44,
1992-10-25T00:00:00,159269.76,
1992-10-26T00:00:00,129625.92,
1992-10-27T00:00:00,103066.56,
1992-10-28T00:00:00,128779.2,
1992-10-29T00:00:00,457349.76,
1992-10-30T00:00:00,58968.0,
1992-10-31T00:00:00,710622.72,
1992-11-01T00:00:00,1070046.72,
1992-11-02T00:00:00,2059223.04,
1992-11-03T00:00:00,3208351.68,
1992-11-04T00:00:00,2796966.72,
1992-11-05T00:00:00,2157744.96,
1992-11-06T00:00:00,2825867.52,
1992-11-07T00:00:00,1315699.2,
1992-11-08T00:00:00,942096.96,
1992-11-09T00:00:00,714139.2,
1992-11-10T00:00:00,768458.88,
1992-11-11T00:00:00,661055.04,
1992-11-12T00:00:00,2128498.56,
1992-11-13T00:00:00,1267997.76,
1992-11-14T00:00:00,1122249.6,
1992-11-15T00:00:00,805757.76,
1992-11-16T00:00:00,683069.76,
1992-11-17T00:00:00,559828.8,
1992-11-18T00:00:00,877409.28,
1992-11-19T00:00:00,846192.96,
1992-11-20T00:00:00,1194238.08,
1992-11-21T00:00:00,548311.68,
1992-11-22T00:00:00,401820.48,
1992-11-23T00:00:00,380712.96,
1992-11-24T00:00:00,763050.24,
1992-11-25T00:00:00,594587.52,
1992-11-26T00:00:00,1029862.08,
1992-11-27T00:00:00,434013.12,
1992-11-28T00:00:00,390070.08,
1992-11-29T00:00:00,355034.88,
1992-11-30T00:00:00,407384.64,
1992-12-01T00:00:00,1183584.96,
1992-12-02T00:00:00,2530595.52,
1992-12-03T00:00:00,2737791.36,
1992-12-04T00:00:00,3173040.0,
1992-12-05T00:00:00,2397988.8,
1992-12-06T00:00:00,1968831.36,
1992-12-07T00:00:00,1544391.36,
1992-12-08T00:00:00,1149491.52,
1992-12-09T00:00:00,876787.2,
1992-12-10T00:00:00,899778.24,
1992-12-11T00:00:00,1885403.52,
1992-12-12T00:00:00,876597.12,
1992-12-13T00:00:00,771422.4,
1992-12-14T00:00:00,730218.24,
1992-12-15T00:00:00,682266.24,
1992-12-16T00:00:00,616127.04,
1992-12-17T00:00:00,898413.12,
1992-12-18T00:00:00,647006.4,
1992-12-19T00:00:00,1806788.16,
1992-12-20T00:00:00,913930.56,
1992-12-21T00:00:00,838762.56,
1992-12-22T00:00:00,722494.08,
1992-12-23T00:00:00,611323.2,
1992-12-24T00:00:00,497128.32,
1992-12-25T00:00:00,418322.88,
1992-12-26T00:00:00,385845.12,
1992-12-27T00:00:00,314271.36,
1992-12-28T00:00:00,304110.72,
1992-12-29T00:00:00,257290.56,
1992-12-30T00:00:00,226074.24,
1992-12-31T00:00:00,253497.6,
1993-01-01T00:00:00,193622.4,
1993-01-02T00:00:00,178588.8,
1993-01-03T00:00:00,165481.92,
1993-01-04T00:00:00,160531.2,
1993-01-05T00:00:00,372686.4,
1993-01-06T00:00:00,193544.64,
1993-01-07T00:00:00,170795.52,
1993-01-08T00:00:00,349176.96,
1993-01-09T00:00:00,668571.84,
1993-01-10T00:00:00,651015.36,
1993-01-11T00:00:00,1294064.64,
1993-01-12T00:00:00,2024533.44,
1993-01-13T00:00:00,920436.48,
1993-01-14T00:00:00,1280378.88,
1993-01-15T00:00:00,1363080.96,
1993-01-16T00:00:00,708825.6,
1993-01-17T00:00:00,820368.0,
1993-01-18T00:00:00,944740.8,
1993-01-19T00:00:00,870488.64,
1993-01-20T00:00:00,913818.24,
1993-01-21T00:00:00,1408397.76,
1993-01-22T00:00:00,2544013.44,
1993-01-23T00:00:00,1058745.6,
1993-01-24T00:00:00,921991.68,
1993-01-25T00:00:00,809334.72,
1993-01-26T00:00:00,739782.72,
1993-01-27T00:00:00,573877.44,
1993-01-28T00:00:00,462473.28,
1993-01-29T00:00:00,370889.28,
1993-01-30T00:00:00,307316.16,
1993-01-31T00:00:00,299280.96,
1993-02-01T00:00:00,254525.76,
1993-02-02T00:00:00,239967.36,
1993-02-03T00:00:00,225391.68,
1993-02-04T00:00:00,331102.08,
1993-02-05T00:00:00,361679.04,
1993-02-06T00:00:00,275607.36,
1993-02-07T00:00:00,258370.56,
1993-02-08T00:00:00,324354.24,
1993-02-09T00:00:00,670273.92,
1993-02-10T00:00:00,319230.72,
1993-02-11T00:00:00,269447.04,
1993-02-12T00:00:00,231180.48,
1993-02-13T00:00:00,203990.4,
1993-02-14T00:00:00,187194.24,
1993-02-15T00:00:00,329754.24,
1993-02-16T00:00:00,197147.52,
1993-02-17T00:00:00,219749.76,
1993-02-18T00:00:00,297380.16,
1993-02-19T00:00:00,1369146.24,
1993-02-20T00:00:00,105485.76,
1993-02-21T00:00:00,95783.04,
1993-02-22T00:00:00,90244.8,
1993-02-23T00:00:00,81457.92,
1993-02-24T00:00:00,228942.72,
1993-02-25T00:00:00,72066.24,
1993-02-26T00:00:00,164730.24,
1993-02-27T00:00:00,95359.68,
1993-02-28T00:00:00,55935.36,
1993-03-01T00:00:00,51900.48,
1993-03-02T00:00:00,48556.8,
1993-03-03T00:00:00,45982.08,
1993-03-04T00:00:00,208396.8,
1993-03-05T00:00:00,768320.64,
1993-03-06T00:00:00,234264.96,
1993-03-07T00:00:00,35000.64,
1993-03-08T00:00:00,32304.96,
1993-03-09T00:00:00,30024.0,
1993-03-10T00:00:00,44366.4,
1993-03-11T00:00:00,25721.28,
1993-03-12T00:00:00,23716.8,
1993-03-13T00:00:00,21841.92,
1993-03-14T00:00:00,20191.68,
1993-03-15T00:00:00,293146.56,
1993-03-16T00:00:00,409475.52,
1993-03-17T00:00:00,540345.6,
1993-03-18T00:00:00,544285.44,
1993-03-19T00:00:00,540864.0,
1993-03-20T00:00:00,646254.72,
1993-03-21T00:00:00,1473750.72,
1993-03-22T00:00:00,855774.72,
1993-03-23T00:00:00,1554197.76,
1993-03-24T00:00:00,779846.4,
1993-03-25T00:00:00,694137.6,
1993-03-26T00:00:00,590232.96,
1993-03-27T00:00:00,493084.8,
1993-03-28T00:00:00,414426.24,
1993-03-29T00:00:00,351924.48,
1993-03-30T00:00:00,722373.12,
1993-03-31T00:00:00,433373.76,
1993-04-01T00:00:00,382682.88,
1993-04-02T00:00:00,212440.32,
1993-04-03T00:00:00,240131.52,
1993-04-04T00:00:00,306763.2,
1993-04-05T00:00:00,618736.32,
1993-04-06T00:00:00,596384.64,
1993-04-07T00:00:00,1798035.84,
1993-04-08T00:00:00,819227.52,
1993-04-09T00:00:00,774636.48,
1993-04-10T00:00:00,664951.68,
1993-04-11T00:00:00,505163.52,
1993-04-12T00:00:00,424206.72,
1993-04-13T00:00:00,283780.8,
1993-04-14T00:00:00,225780.48,
1993-04-15T00:00:00,179651.52,
1993-04-16T00:00:00,108371.52,
1993-04-17T00:00:00,1927031.04,
1993-04-18T00:00:00,539801.28,
1993-04-19T00:00:00,574300.8,
1993-04-20T00:00:00,511945.92,
1993-04-21T00:00:00,1525132.8,
1993-04-22T00:00:00,763369.92,
1993-04-23T00:00:00,938995.2,
1993-04-24T00:00:00,953510.4,
1993-04-25T00:00:00,924307.2,
1993-04-26T00:00:00,870065.28,
1993-04-27T00:00:00,804306.24,
1993-04-28T00:00:00,585541.44,
1993-04-29T00:00:00,265861.44,
1993-04-30T00:00:00,142758.72,
1993-05-01T00:00:00,83937.6,
1993-05-02T00:00:00,-13642.56,
1993-05-03T00:00:00,219628.8,
1993-05-04T00:00:00,-114194.88,
1993-05-05T00:00:00,192049.92,
1993-05-06T00:00:00,-151251.84,
1993-05-07T00:00:00,-189907.2,
1993-05-08T00:00:00,-355682.88,
1993-05-09T00:00:00,-373040.64,
1993-05-10T00:00:00,-376280.64,
1993-05-11T00:00:00,-359709.12,
1993-05-12T00:00:00,-403937.28,
1993-05-13T00:00:00,-293863.68,
1993-05-14T00:00:00,-237340.8,
1993-05-15T00:00:00,-526521.6,
1993-05-16T00:00:00,-309700.8,
1993-05-17T00:00:00,-555387.84,
1993-05-18T00:00:00,-555612.48,
1993-05-19T00:00:00,-635999.04,
1993-05-20T00:00:00,-641856.96,
1993-05-21T00:00:00,138067.2,
1993-05-22T00:00:00,-480090.24,
1993-05-23T00:00:00,-593758.08,
1993-05-24T00:00:00,-638832.96,
1993-05-25T00:00:00,-310633.92,
1993-05-26T00:00:00,-280385.28,
1993-05-27T00:00:00,-483762.24,
1993-05-28T00:00:00,-492091.2,
1993-05-29T00:00:00,-473999.04,
1993-05-30T00:00:00,-526590.72,
1993-05-31T00:00:00,-494026.56,
1993-06-01T00:00:00,-63383.04,
1993-06-02T00:00:00,-135527.04,
1993-06-03T00:00:00,88344.0,
1993-06-04T00:00:00,-296628.48,
1993-06-05T00:00:00,95575.68,
1993-06-06T00:00:00,-300412.8,
1993-06-07T00:00:00,-332942.4,
1993-06-08T00:00:00,-415903.68,
1993-06-09T00:00:00,-502364.16,
1993-06-10T00:00:00,-256037.76,
1993-06-11T00:00:00,-457012.8,
1993-06-12T00:00:00,-468866.88,
1993-06-13T00:00:00,76584.96,
1993-06-14T00:00:00,-469765.44,
1993-06-15T00:00:00,-308033.28,
1993-06-16T00:00:00,-290347.2,
1993-06-17T00:00:00,1362666.24,
1993-06-18T00:00:00,-332640.0,
1993-06-19T00:00:00,-489870.72,
1993-06-20T00:00:00,-566438.4,
